feature,mean_abs_shap,mean_shap,std_shap
last_fico_range_high,2.8507257,-1.8720899,2.3934562
last_fico_range_low,0.18693939,-0.12939891,0.16599001
dti,0.16997352,-0.06686533,0.17895721
int_rate,0.14589182,-0.028954452,0.17763333
installment_to_income_ratio,0.10802106,-0.067933045,0.11707879
loan_amnt,0.081957966,-0.008332892,0.106237404
issue_year,0.07800564,0.04770175,0.11227017
total_bal_il,0.04907289,0.030588739,0.09255662
issue_month,0.04614701,-0.0073424038,0.070299275
annual_inc,0.038353555,-0.025187928,0.051059064
bc_util,0.035776597,-0.022425124,0.04039556
pct_tl_nvr_dlq,0.035366442,-0.00628546,0.056556292
credit_history_years,0.033011623,-0.02302398,0.04628155
mo_sin_old_rev_tl_op,0.03282345,-0.020871066,0.043647584
revol_util,0.031633195,-0.018184673,0.038289193
total_acc,0.031124037,-0.013089272,0.046478488
mths_since_last_major_derog,0.030445445,-0.0068043983,0.052122016
mo_sin_rcnt_rev_tl_op,0.029820299,-0.011408649,0.036617134
max_bal_bc,0.029507989,0.010400301,0.038301498
total_bc_limit,0.028621996,-0.0020864282,0.039924886
fico_range_low,0.027743347,-0.022010474,0.033958305
mo_sin_old_il_acct,0.026875097,-0.012375224,0.036633845
installment,0.026617499,-0.0074601662,0.03650088
mths_since_recent_bc,0.025452359,-0.016758746,0.031273484
num_rev_accts,0.025430012,-0.013552261,0.029919589
avg_cur_bal,0.02399837,-0.009158627,0.03151647
mo_sin_rcnt_tl,0.02314633,-0.010163434,0.03104243
num_bc_sats,0.02297164,0.0036323082,0.03063719
revol_bal,0.022202944,-0.0123782065,0.026335623
bc_open_to_buy,0.022083765,-0.0076418817,0.030508779
tot_hi_cred_lim,0.020924829,-0.013479705,0.026789995
num_bc_tl,0.020687599,-0.006200825,0.027554242
funded_amnt,0.020662513,-0.0037855147,0.028330425
num_op_rev_tl,0.020350672,-0.009751996,0.035842035
total_il_high_credit_limit,0.019503424,-0.00822774,0.025162697
tot_cur_bal,0.018573647,-0.009861435,0.024779376
total_bal_ex_mort,0.018380148,-0.014602019,0.020828746
mths_since_last_delinq,0.018050544,-0.01319105,0.018609187
funded_amnt_inv,0.017891238,-0.0035581528,0.027320767
total_rev_hi_lim,0.01757903,-0.0077908416,0.030761901
num_tl_op_past_12m,0.01741667,-0.008185084,0.027348677
num_actv_rev_tl,0.016668016,0.0007366665,0.02405981
all_util,0.016496819,0.010260408,0.025664289
acc_open_past_24mths,0.015063055,-0.0050887032,0.025734112
open_rv_24m,0.014773791,0.0077156294,0.032939926
mths_since_recent_inq,0.014347838,-0.008590657,0.018824076
il_util,0.01410093,0.0010552846,0.020750655
mths_since_recent_bc_dlq,0.013985184,-0.0054737283,0.026689807
num_il_tl,0.013951693,-0.0074052433,0.021942448
num_rev_tl_bal_gt_0,0.01290817,-0.001798378,0.020487841
total_cu_tl,0.012677185,-0.0065768557,0.022670355
open_acc,0.0119162025,-0.0071564973,0.016076947
mths_since_recent_revol_delinq,0.010123044,-0.0010598692,0.01898565
inq_last_6mths,0.01007004,-0.0041101887,0.013185823
num_sats,0.0098961815,-0.0049715918,0.013041758
inq_last_12m,0.008564539,0.005122686,0.012250469
percent_bc_gt_75,0.007344167,-0.004516286,0.0105501795
pub_rec,0.0065735574,-0.0026634247,0.025200915
tot_coll_amt,0.0064666513,-0.0016009711,0.011966222
num_actv_bc_tl,0.0064377976,-0.003842797,0.008440669
mths_since_rcnt_il,0.0061003584,-0.00182336,0.01321475
fico_range_high,0.0059531997,-0.002628962,0.008671033
pub_rec_bankruptcies,0.0057391985,-0.0016674385,0.027267486
mths_since_last_record,0.0054384703,-0.00087022665,0.013549128
mort_acc,0.0040056603,-0.00225243,0.0066857142
num_accts_ever_120_pd,0.0039986814,-0.00091503427,0.010224542
open_acc_6m,0.0039813337,0.00095196365,0.0067540715
open_act_il,0.003824574,-0.00021658547,0.009819791
delinq_2yrs,0.0035668528,-0.0014897819,0.01077561
open_rv_12m,0.0034971193,-0.0019505535,0.0066991993
collections_12_mths_ex_med,0.0018912518,-0.0012878226,0.006423093
num_tl_90g_dpd_24m,0.0007893569,-0.00012596618,0.002196728
open_il_24m,0.0006349476,3.8643182e-05,0.0016951031
open_il_12m,0.0004918701,-0.000300912,0.0011003258
chargeoff_within_12_mths,0.00037509418,-0.0002279553,0.00092481263
inq_fi,0.00028033138,4.3577897e-05,0.00087863085
policy_code,0.0,0.0,0.0
delinq_amnt,0.0,0.0,0.0
acc_now_delinq,0.0,0.0,0.0
num_tl_30dpd,0.0,0.0,0.0
num_tl_120dpd_2m,0.0,0.0,0.0
tax_liens,0.0,0.0,0.0
funded_to_loan_ratio,0.0,0.0,0.0
fico_midpoint,0.0,0.0,0.0
fico_range,0.0,0.0,0.0
